station,elevation,grade
12283.5,1169.957,0
12303.5,1169.799,0
12323.5,1169.683,0
12343.5,1169.53,0
12363.5,1169.382,0
12383.5,1169.237,0
12403.5,1169.063,0
12423.5,1168.893,0
12443.5,1168.727,0
12463.5,1168.547,0
12483.5,1168.384,0
12503.5,1168.24,0
12523.5,1168.062,0
12543.5,1167.961,0
12563.5,1167.824,0
12583.5,1167.674,0
12603.5,1167.507,0
12623.5,1167.355,0
12643.5,1167.218,0
12663.5,1167.037,0
12683.5,1166.899,0
12703.5,1166.749,0
12723.5,1166.6,0
12743.5,1166.469,0
