station,elevation,grade
12283.5,1169.966,0
12303.5,1169.839,0
12323.5,1169.679,0
12343.5,1169.503,0
12363.5,1169.38,0
12383.5,1169.198,0
12403.5,1169.033,0
12423.5,1168.873,0
12443.5,1168.687,0
12463.5,1168.518,0
12483.5,1168.347,0
12503.5,1168.193,0
12523.5,1168.083,0
12543.5,1167.974,0
12563.5,1167.821,0
12583.5,1167.643,0
12603.5,1167.493,0
12623.5,1167.343,0
12643.5,1167.183,0
12663.5,1167.039,0
12683.5,1166.883,0
12703.5,1166.738,0
12723.5,1166.583,0
12743.5,1166.573,0
